custId,predRevenue
1850,0
1877,0
3652,0
4041,0
4713,0
5658,0
8225,0
11934,0
13774,0
14231,0
18215,0
21225,0
23624,0
26624,0
27976,0
32768,0
33499,0
34992,0
35946,0
45233,0
48821,0
49172,0
49396,0
52303,0
53194,0
55495,0
56288,0
58994,0
60011,0
63952,0
66276,0
72828,0
74381,0
74982,0
75559,0
75837,0
79191,0
80733,0
89104,0
91155,0
92628,0
94262,0
95262,0
3920,0.693147181
7340,0.693147181
7792,0.693147181
8746,0.693147181
9018,0.693147181
9657,0.693147181
12439,0.693147181
12775,0.693147181
13550,0.693147181
13580,0.693147181
17704,0.693147181
23834,0.693147181
25029,0.693147181
25407,0.693147181
27910,0.693147181
30724,0.693147181
31418,0.693147181
35345,0.693147181
40648,0.693147181
42139,0.693147181
42209,0.693147181
43138,0.693147181
46092,0.693147181
46211,0.693147181
47996,0.693147181
48537,0.693147181
50764,0.693147181
53160,0.693147181
55359,0.693147181
55544,0.693147181
55630,0.693147181
56603,0.693147181
60258,0.693147181
60502,0.693147181
61259,0.693147181
63656,0.693147181
64915,0.693147181
67711,0.693147181
68651,0.693147181
75242,0.693147181
77403,0.693147181
79089,0.693147181
79215,0.693147181
81031,0.693147181
82212,0.693147181
82433,0.693147181
84197,0.693147181
84221,0.693147181
86926,0.693147181
87158,0.693147181
87901,0.693147181
90331,0.693147181
92640,0.693147181
3991,1.098612289
6685,1.098612289
8211,1.098612289
8268,1.098612289
10842,1.098612289
12266,1.098612289
12423,1.098612289
17984,1.098612289
21321,1.098612289
22241,1.098612289
22242,1.098612289
23175,1.098612289
24894,1.098612289
25767,1.098612289
26967,1.098612289
35704,1.098612289
36329,1.098612289
36600,1.098612289
38338,1.098612289
45520,1.098612289
46001,1.098612289
47623,1.098612289
57652,1.098612289
61460,1.098612289
62903,1.098612289
64310,1.098612289
66906,1.098612289
67730,1.098612289
74273,1.098612289
76540,1.098612289
77090,1.098612289
77526,1.098612289
77873,1.098612289
80455,1.098612289
