custId,predRevenue
1794,5.918893854
1796,6.507277712
1798,6.833031733
1802,6.380122537
1805,5.937536205
1806,4.59511985
1808,6.519147288
1809,6.787844982
1811,6.907755279
1814,5.327876169
1816,6.490723535
1819,4.934473933
1821,5.170483995
1824,2.48490665
1825,6.771935556
1827,6.646390515
1828,6.371611847
1829,6.831953566
1830,5.272999559
1831,5.147494477
1832,3.891820298
1837,6.711740395
1838,6.115892125
1839,5.669880923
1841,5.752572639
1842,6.278521424
1843,6.184148891
1844,5.872117789
1848,6.884486652
1849,6.66057515
1850,0
1851,4.65396035
1852,6.424869024
1853,4.553876892
1855,6.216606101
1858,5.209486153
1863,6.440946541
1866,3.688879454
1868,6.543911846
1869,6.851184927
1871,6.068425588
1875,5.669880923
1877,0
1878,5.638354669
1879,5.33753808
1881,6.350885717
1884,4.727387819
1887,6.376726948
1888,6.770789424
1890,6.800170068
1892,4.532599493
1893,5.375278408
1894,6.588926478
1895,6.769641977
1896,6.324358962
1898,5.361292166
1901,6.865891075
1902,6.350885717
1905,5.998936562
1907,5.081404365
1909,6.210600077
1912,6.834108739
1915,6.646390515
1917,6.840546529
1919,6.03068526
1920,6.84694314
1924,4.86753445
1929,5.749392986
1930,5.837730447
1931,4.744932128
1933,6.481577129
1935,6.866933284
1939,5.318119994
1940,5.433722004
1942,5.973809612
1944,6.405228458
1945,6.56667243
1947,4.905274778
1950,4.8978398
1953,5.517452896
1955,6.09356977
1957,4.812184355
1961,5.986452005
1962,6.523562306
1964,6.274762021
1965,5.924255797
1967,1.945910149
1968,6.045005314
1971,5.983936281
1972,6.395261598
1973,4.634728988
1976,6.84694314
1980,6.73459166
1981,5.062595033
1982,6.622736324
1983,5.641907071
1984,6.572282543
1990,6.790097236
1991,6.466144724
1992,6.685860947
1993,6.23636959
1998,4.744932128
2002,6.715383386
2003,6.882437471
2004,6.107022888
2006,5.505331536
2008,5.416100402
2009,6.393590754
2010,6.542471961
2011,6.7310181
2013,5.552959585
2014,6.59441346
2016,5.278114659
2017,6.126869184
2018,6.80682936
2019,6.194405391
2022,6.146329258
2027,3.258096538
2029,5.913503006
2030,5.272999559
2033,6.508769137
2038,6.577861358
2041,6.548219103
2043,6.077642243
2045,6.510258341
2048,2.890371758
2050,4.343805422
2053,6.577861358
2054,5.774551546
2056,5.575949103
2058,5.891644212
2065,5.894402834
2068,6.302618976
2069,6.049733455
2070,6.467698726
2072,4.955827058
2074,5.384495063
2076,6.453624999
2077,6.077642243
2078,6.313548046
2080,4.812184355
2081,5.308267697
2086,5.966146739
2088,5.056245805
2090,6.89060912
2095,2.48490665
2097,6.450470422
2099,5.877735782
2100,6.33150185
2101,6.855408799
2102,6.687108608
2107,6.859614904
2109,6.56667243
2110,6.610696045
2111,5.796057751
2113,5.375278408
2114,5.231108617
2117,5.564520407
2119,5.655991811
2121,5.010635294
2125,6.418364936
2126,5.860786223
2128,6.616065185
2129,5.743003188
2131,5.891644212
2132,2.708050201
2133,6.817830571
2134,3.610917913
2136,5.062595033
2137,5.153291594
2139,3.912023005
2140,6.866933284
2142,4.317488114
2143,4.33073334
2146,4.779123493
2148,6.255750042
2150,4.644390899
2151,6.368187186
2152,5.501258211
2154,5.840641657
2155,5.327876169
2156,6.539585956
2158,6.723832441
2159,6.556778356
2163,6.466144724
2165,5.627621114
2168,6.361302478
2169,6.342121419
2174,6.643789733
2176,4.290459441
2177,5.480638923
2179,6.00635316
2180,6.841615476
2183,4.955827058
2184,5.384495063
2186,6.831953566
2188,6.369900983
2193,5.398162702
2194,6.838405201
2195,5.420534999
2196,3.871201011
2197,6.65929392
2199,6.679599186
2202,6.756932389
2207,6.858565035
2208,6.327936784
2209,6.809039306
2211,6.650279049
2213,6.423246964
2214,4.234106505
2215,4.709530201
2217,5.768320996
2218,6.621405652
2220,6.754604099
2222,6.442540166
2223,6.65929392
2224,6.533788838
2227,3.891820298
2229,6.689599269
2230,6.606650186
2232,6.340359304
2233,4.997212274
2234,6.363028104
2236,6.552507887
2238,5.955837369
2239,6.745236349
2240,4.96284463
2241,5.442417711
2242,6.403574198
2243,1.609437912
2244,6.475432717
2247,6.800170068
2248,5.733341277
2251,2.833213344
2253,6.408528791
2255,6.829793738
2260,6.173786104
2262,5.33753808
2263,6.390240667
2266,6.228511004
2271,6.721425701
2272,6.450470422
2275,6.431331082
2276,5.33753808
2279,5.192956851
2283,5.891644212
2284,6.246106765
2285,4.234106505
2293,6.590301048
2296,6.388561406
2299,5.799092654
2301,5.099866428
2302,6.825460036
2303,6.665683718
2304,6.369900983
2305,5.891644212
2309,6.762729507
2310,6.165417854
2312,5.497168225
2314,6.522092798
2316,6.246106765
2317,5.370638028
2320,6.282266747
2321,5.552959585
2325,6.11146734
2327,6.828712072
2328,5.347107531
2329,5.860786223
2331,6.159095388
2334,6.489204931
2338,5.298317367
2339,6.748759547
2341,5.003946306
2343,6.54534966
2345,5.393627546
2346,5.509388337
2347,6.480044562
2348,5.786897381
2350,6.152732695
2351,6.150602768
2360,6.104793232
2362,6.29156914
2363,6.876264612
2365,6.685860947
2366,5.416100402
2369,6.340359304
2374,6.535241271
2375,5.153291594
2378,5.579729826
2382,5.18178355
2384,5.318119994
2386,6.084499413
2387,5.342334252
2388,5.703782475
2390,5.459585514
2391,6.527957918
2392,6.06610809
2394,6.49677499
2397,6.391917113
2404,5.433722004
2406,6.754604099
2410,6.56526497
2411,6.248042875
2413,6.559615237
2414,5.323009979
2416,5.455321115
2417,5.030437921
2418,5.225746674
2420,3.871201011
2421,6.791221463
2423,5.204006687
2424,6.486160789
2427,4.532599493
2429,6.852242569
2430,6.773080376
2435,4.543294782
2437,5.036952602
2439,5.560681631
2440,5.846438775
2444,6.317164687
2445,4.736198448
2448,3.931825633
2452,6.527957918
2453,6.561030666
2455,6.870053412
2458,6.887552572
2460,5.036952602
2462,6.327936784
2463,5.891644212
2465,6.901737207
2470,6.463029457
2472,6.415096959
2473,6.538139824
2474,6.472346295
2475,6.148468296
2480,5.505331536
2481,6.712956201
2482,5.758901774
2483,5.393627546
2484,6.54534966
2485,6.165417854
2486,6.710523109
2488,6.570882962
2489,6.214608098
2490,5.164785974
2491,6.753437919
2492,4.812184355
2496,6.673297968
2497,5.609471795
2498,2.63905733
2500,6.853299093
2503,6.66440902
2504,6.023447593
2505,5.416100402
2506,5.075173815
2510,6.366470448
2511,6.126869184
2512,5.332718793
2513,6.253828812
2515,6.677083461
2516,6.891625897
2517,5.198497031
2519,6.791221463
2521,6.514712691
2523,6.363028104
2526,6.011267174
2527,6.80682936
2535,6.821107472
2538,5.703782475
2539,6.467698726
2541,4.521788577
2542,6.131226489
2544,5.541263545
2545,6.893656355
2547,4.779123493
2548,6.343880434
2549,5.030437921
2551,4.290459441
2559,6.285998095
2561,6.755768922
2563,6.897704943
2565,6.711740395
2566,6.816735881
2567,6.738152495
2569,6.063785209
2570,6.056784013
2571,4.859812404
2572,6.261491684
2576,5.945420609
2578,5.746203191
2580,5.883322388
2583,4.17438727
2584,4.49980967
2585,4.709530201
2586,6.406879986
2590,6.29156914
2595,6.90475077
2596,6.386879319
2600,5.105945474
2604,5.755742214
2605,6.118097198
2608,4.804021045
2614,5.398162702
2615,5.65248918
2616,6.573680167
2620,6.28785856
2621,3.218875825
2623,6.363028104
2631,5.80814249
2632,2.079441542
2633,4.465908119
2639,6.720220155
2646,6.056784013
2648,6.818924065
2650,4.077537444
2652,5.075173815
